,prediction
510,0.65141994
19038,0.6387037
15831,0.098837405
3652,0.58977723
13254,0.58755314
9292,0.9613092
7680,0.91667277
6102,0.7473438
9527,0.6581841
14953,0.7400332
1594,0.6680392
7392,0.8502623
20882,0.58036
4120,0.5128428
21444,0.5300012
4059,0.6082557
1289,0.6288683
3725,0.62187123
9345,0.13120231
574,0.6630151
6362,0.3971826
21484,0.81228393
451,0.6911047
12504,0.5735812
4718,0.604316
15154,0.53779995
16387,0.76757187
19215,0.6727741
13019,0.9689734
13404,0.58764166
9052,0.829091
10484,0.574072
18967,0.70093817
19032,0.4910877
3207,0.5960053
10181,0.9054875
1311,0.7771827
13623,0.30254504
3228,0.6485017
7574,0.8838748
3016,0.56398445
6384,0.7926584
13321,0.41017357
4742,0.5971687
15465,0.94916445
6853,0.8886209
6722,0.28091025
3089,0.56955737
12336,0.29583597
18432,0.64603573
1274,0.5099194
18218,0.78498757
21546,0.66125685
3951,0.692634
6088,0.71739787
4159,0.46101284
18250,0.86047196
7701,0.23267967
4670,0.5262926
3967,0.5075751
15565,0.5722637
9167,0.9522838
198,0.821543
1659,0.732456
18592,0.38456163
1019,0.7597353
1025,0.72569984
19230,0.6996628
3957,0.5273042
219,0.7474835
4,0.7917215
9098,0.8990305
21014,0.55863863
4207,0.5675156
9583,0.10165459
10304,0.20271626
21412,0.48681968
13401,0.9781456
356,0.68457013
18283,0.8339938
6794,0.5364832
18851,0.79159606
12123,0.5652099
3682,0.6559203
4267,0.68316317
6639,0.5924131
8942,0.26108858
17986,0.8258297
4095,0.58654416
3027,0.6721516
13169,0.91530794
13080,0.9477626
12137,0.4217573
16037,0.63623554
4663,0.6603075
19413,0.8553889
13085,0.624686
10551,0.26591945
799,0.63007194
17945,0.62871695
16527,0.7706816
9289,0.22276793
4213,0.6080016
4156,0.53376627
4150,0.5468177
15738,0.47739014
7263,0.7234866
14848,0.39658013
9558,0.98421603
19550,0.41110605
4360,0.46190572
19291,0.48486295
15409,0.6045845
20759,0.6795206
18900,0.8281528
15363,0.17137533
513,0.75824076
14934,0.9398113
3554,0.54989934
12430,0.62130886
964,0.8164999
18995,0.5910367
9743,0.8097552
15529,0.7212803
16297,0.7387914
10490,0.15312146
19533,0.6269013
4141,0.64829195
13034,0.42324254
12108,0.56184065
19134,0.64510655
9609,0.30183488
13383,0.28926218
16071,0.7495982
12841,0.96226823
18243,0.75944924
18075,0.8175539
19519,0.72566974
4349,0.5928334
9071,0.6462806
10148,0.7035638
3081,0.5938931
12804,0.49520257
9944,0.115452565
7228,0.59351695
19439,0.5422325
4442,0.666457
20922,0.6839223
12665,0.6762349
15327,0.9328662
726,0.68427557
19494,0.7672163
894,0.7050327
830,0.7642007
19002,0.77249223
9102,0.36160475
2993,0.582836
18430,0.728787
15122,0.4187777
14922,0.8235086
6190,0.9485728
10219,0.5247381
18066,0.8657781
3598,0.50719756
7376,0.56441647
19352,0.84082764
12414,0.16191417
15468,0.23342153
113,0.6922798
1351,0.7172126
18100,0.79280376
237,0.6393253
12966,0.71542555
15590,0.858484
1022,0.7938281
4332,0.6679007
15403,0.27505586
13593,0.31091207
18455,0.30579016
17870,0.6333168
15479,0.4952843
21144,0.560147
3600,0.5465265
4535,0.5075023
9317,0.7566451
18806,0.72061664
13590,0.49017203
10395,0.87954354
17903,0.4967522
6072,0.58159256
9051,0.8125703
9264,0.9344413
10451,0.6785829
10037,0.6832449
18234,0.7176495
12689,0.44960192
4541,0.71538484
10506,0.2376213
9055,0.27790698
14975,0.67816544
16324,0.8139809
509,0.78477705
286,0.27855003
983,0.6433472
18345,0.7908657
12025,0.45924938
10310,0.4193721
18887,0.6213496
9525,0.944409
4367,0.6111516
11925,0.5054412
15321,0.9230859
10097,0.657264
13027,0.6326208
17969,0.614437
19042,0.34555748
16489,0.54596853
12238,0.28540513
21569,0.5524056
18826,0.9284904
6549,0.9853596
6620,0.22050388
1393,0.7799021
15885,0.8146987
7250,0.6273138
1492,0.5487872
12834,0.8872557
10559,0.8886767
3508,0.6181645
21502,0.6528821
1053,0.7406594
6952,0.3595054
3014,0.57473856
7012,0.4159783
16570,0.6760093
15654,0.8530881
21045,0.5715156
3656,0.24850063
4089,0.5690621
17852,0.7677733
7245,0.41536424
7099,0.92087203
6003,0.9752049
19401,0.5873041
1163,0.8418521
9949,0.40814042
4206,0.39296684
3885,0.59682685
12081,0.9627134
21230,0.60721433
7493,0.9521074
7565,0.33334786
18970,0.43305254
9610,0.80797887
10573,0.455934
14918,0.5532364
12808,0.2035287
4627,0.58643204
9410,0.32937625
7241,0.586626
16332,0.47990033
11996,0.7077946
16188,0.4303109
18446,0.36456668
18296,0.38888872
3358,0.5819065
12407,0.5539996
4746,0.58708465
16474,0.33420116
3454,0.3372373
6290,0.40820357
19023,0.6817353
7033,0.8897574
635,0.7594167
16454,0.94268525
13453,0.81356394
18647,0.7046839
4588,0.6869071
1364,0.7653772
17883,0.760357
1775,0.7619849
10446,0.86658376
15825,0.7757024
18664,0.8952819
12791,0.604259
1635,0.7090338
7470,0.7442541
16107,0.7796194
9886,0.28618765
829,0.6916283
10025,0.84016794
12329,0.5479875
7209,0.95043814
1123,0.5516057
15093,0.69048077
1190,0.73621947
16206,0.14036725
918,0.76471573
3442,0.52987826
4226,0.7229412
15962,0.42857334
10549,0.13335721
7193,0.34477943
21462,0.5743503
4674,0.6298515
12286,0.20205276
21176,0.5098268
15509,0.947453
445,0.53626406
301,0.6989623
3890,0.54046786
18891,0.39794737
15736,0.890704
12404,0.8637365
7344,0.98485476
18415,0.47144705
134,0.7657035
15756,0.6639305
15176,0.9194203
12903,0.50392175
19443,0.8076146
1069,0.7903971
6424,0.68743145
7398,0.23878025
10625,0.51663405
20794,0.61422676
433,0.7640381
18163,0.7271559
13240,0.77149564
6055,0.5901323
15759,0.68197674
4595,0.49919704
18941,0.7695283
10103,0.18830127
15519,0.8591703
4270,0.6246601
3992,0.63004255
4743,0.6539548
15971,0.96371067
4560,0.2516764
20835,0.5869825
12907,0.7837992
17846,0.76756537
16600,0.21680604
16579,0.80538774
9542,0.14840195
6718,0.4664316
17974,0.8895722
4389,0.53034717
1330,0.7531649
15036,0.7097837
15683,0.60339034
12505,0.94332933
4067,0.5648172
7023,0.49896917
19156,0.39131013
9335,0.29475155
9184,0.36878014
15224,0.54897064
15762,0.57134086
15301,0.88516784
19294,0.79637516
19256,0.7772012
7657,0.77484334
713,0.729561
9662,0.15488017
15989,0.33992627
16334,0.41282767
3110,0.5145818
13597,0.95787853
12319,0.43166414
4564,0.58888775
10453,0.8140174
10,0.69211006
12787,0.7778451
16175,0.7503064
19480,0.62690884
18020,0.6936721
7477,0.20897505
21427,0.5925561
7031,0.43447608
9924,0.23634353
4163,0.47246146
1575,0.7134204
4211,0.47999096
686,0.73448074
18839,0.8894208
17971,0.8550343
3292,0.633889
13177,0.80496407
10172,0.6831192
389,0.68961513
6938,0.5928474
6051,0.7528497
6389,0.76067734
3482,0.49574235
7117,0.3899987
13081,0.9650857
9962,0.47107401
6017,0.50747633
4132,0.60402036
15790,0.78608364
15701,0.6184858
261,0.72059816
15369,0.7116572
41,0.2685568
16556,0.09527741
13351,0.47571543
7035,0.53023934
14892,0.88842094
9373,0.19284636
11949,0.66329885
18146,0.9050507
465,0.7089393
12770,0.70858216
12575,0.65630025
12874,0.73148525
8946,0.7782694
16100,0.8293969
13246,0.8593546
3946,0.55641764
21031,0.5171929
10631,0.4514494
16362,0.46586555
4303,0.63250375
6087,0.48856118
13337,0.6375386
10474,0.6838894
3117,0.4803459
12315,0.6500101
11879,0.4076611
9396,0.14896359
21087,0.57579434
19085,0.589876
15934,0.38660488
15463,0.6544686
520,0.5843168
15129,0.3481732
13376,0.97589344
9133,0.98011065
4696,0.5172967
494,0.7738395
11962,0.5858134
16628,0.6404877
3115,0.5748631
21387,0.589675
13276,0.79555064
4545,0.6092879
19385,0.565222
1522,0.8206106
6485,0.98142517
3623,0.48908684
3749,0.5093331
7516,0.897352
18396,0.78699154
15997,0.7327955
2982,0.59799165
756,0.6404726
16270,0.38340378
12842,0.422783
16310,0.29104587
15289,0.7176499
9860,0.8757498
15040,0.42781627
4365,0.6004905
3523,0.6403065
11978,0.80101883
16629,0.27066588
7190,0.9123817
12875,0.6000266
16261,0.740198
21434,0.54363185
7198,0.5379381
7181,0.9886719
3604,0.43519258
6495,0.374013
476,0.62377006
667,0.65864015
10134,0.84111565
15294,0.5683245
16502,0.3158538
10359,0.14980043
9705,0.92732114
706,0.80184275
6814,0.588343
18172,0.9049456
3837,0.49610883
13347,0.8080277
6834,0.29373989
9328,0.17855297
18621,0.57297117
15757,0.63564295
6967,0.9206319
16043,0.75350213
6337,0.5776716
19268,0.7448761
9460,0.9170363
6427,0.47313654
15734,0.42126128
9666,0.3078702
9546,0.1686258
7122,0.37866268
16513,0.70298684
4316,0.5240716
12753,0.8018421
12322,0.23433845
12475,0.2868543
6140,0.5863029
16029,0.9573252
16518,0.3371556
16604,0.8068401
9882,0.5379372
9820,0.89448184
10085,0.29496703
6768,0.29858023
3935,0.49630743
16630,0.43294612
20765,0.665699
3779,0.37982023
10639,0.541221
9482,0.96479666
13357,0.89784825
6650,0.37110662
12215,0.2942859
7393,0.6205494
16296,0.8127355
7461,0.82805854
15159,0.9681873
11,0.8138573
12167,0.39923456
4158,0.64167416
3230,0.29675996
16575,0.603522
394,0.5414935
6899,0.8467846
12332,0.4202162
19223,0.79962784
13183,0.61941105
6446,0.798205
282,0.64979076
15279,0.35560894
19077,0.5733108
21122,0.73624426
801,0.72446233
15230,0.7916074
3736,0.6086877
6832,0.58092344
10160,0.962188
17954,0.56018984
16171,0.9251289
12597,0.6717662
1320,0.76993084
6255,0.37536737
20751,0.66510576
4022,0.64231724
7306,0.3901581
10308,0.83742446
21345,0.54376245
21271,0.583847
6976,0.2571733
15362,0.41659054
18637,0.8004015
18053,0.88082093
9919,0.82912767
17867,0.66984487
1303,0.67320496
13513,0.26784703
1128,0.6610421
597,0.7510656
12225,0.94830894
19243,0.8750389
243,0.72208905
3185,0.5683797
19003,0.77721786
6311,0.47345418
18161,0.6239444
16356,0.86792886
18393,0.6792591
3402,0.690509
591,0.67788863
18671,0.6935031
15139,0.9287367
3282,0.60897505
10557,0.38204652
3686,0.47691128
9881,0.49553514
10440,0.23590472
16275,0.8918967
7388,0.7562315
13140,0.387547
99,0.6739867
16017,0.84402275
629,0.85090804
6827,0.55701905
3289,0.46426564
16198,0.9822969
13091,0.5565668
18187,0.75029695
7350,0.4884884
18391,0.7011256
4394,0.5995906
7395,0.36467278
15837,0.31272158
4504,0.6193064
12230,0.5820249
7231,0.9834448
21208,0.7528194
3527,0.55698097
21610,0.61220664
18419,0.95542246
16256,0.12052021
4110,0.5502181
1779,0.76356936
16050,0.9043013
15450,0.8875779
18530,0.63767296
15457,0.94413877
12527,0.33077577
4583,0.59145683
15866,0.7138707
20839,0.49379423
13037,0.59387314
7142,0.68167114
15296,0.9464954
16492,0.8106394
9216,0.37447345
19258,0.8346679
399,0.7245435
1576,0.59582
9983,0.9382373
6145,0.9237001
20796,0.7068444
3472,0.46483418
12642,0.32937878
15763,0.69363856
13589,0.4463231
2999,0.49742258
3750,0.6763041
3183,0.54193336
16572,0.25114706
6882,0.4721295
9318,0.12533061
11923,0.68619186
265,0.7616759
12374,0.74996346
773,0.7171823
19411,0.5431519
6459,0.40963224
18659,0.7924065
12264,0.5584465
18859,0.25683326
12040,0.4078625
9805,0.6225155
6354,0.34308213
183,0.7460884
6056,0.6236476
16470,0.94332635
16373,0.7849901
7083,0.47660553
18409,0.5668465
17889,0.36149523
310,0.71905774
25,0.63885856
13387,0.59424245
16095,0.7801225
9550,0.86045206
4587,0.5256462
12439,0.80696934
12011,0.8563422
18950,0.847923
1729,0.7234985
12938,0.8921027
16271,0.6799104
14912,0.64938104
13097,0.25344497
6675,0.5206939
12816,0.5790779
3293,0.62762016
7635,0.63489825
18417,0.55200094
6738,0.5258928
1569,0.44288468
10616,0.5187124
21103,0.5881578
8916,0.43614477
3461,0.52331126
15166,0.92832476
4285,0.5305927
9837,0.12871408
7598,0.82794845
4338,0.5534991
10113,0.0956197
18919,0.5992188
12723,0.59172374
18617,0.78912365
284,0.632797
7047,0.6694587
9652,0.75553834
7661,0.60291713
12109,0.7644046
7330,0.7037073
1375,0.76234454
12118,0.42491323
12023,0.32174084
967,0.82266587
727,0.51279837
8908,0.54098725
15523,0.9446012
6622,0.35953066
18325,0.6461822
7497,0.24663307
12065,0.5968742
15480,0.45285368
12455,0.29953322
3751,0.6944757
15366,0.5064507
19169,0.74882406
15996,0.41528857
1476,0.6846707
10062,0.14745833
10634,0.76095897
1735,0.6093653
5988,0.92713714
6229,0.28546268
19329,0.5339776
3231,0.7017944
1358,0.78716916
3227,0.5726853
1266,0.59653145
9238,0.6368821
6689,0.3632768
3144,0.6136125
4437,0.54029995
9169,0.079179116
6676,0.7414625
7049,0.68268466
246,0.77380526
13403,0.61115676
9397,0.38436526
982,0.6828497
7185,0.94261974
1222,0.56109786
4745,0.55181205
62,0.65171033
7540,0.54279673
13025,0.30045694
18809,0.8782672
3455,0.53763855
13248,0.7325048
4170,0.52997243
18853,0.84421235
15515,0.81976104
663,0.7001735
18198,0.69555694
3909,0.62106556
13198,0.5968314
15903,0.7844674
3199,0.5697568
13044,0.39170015
12259,0.4326463
3551,0.6338553
18309,0.7676855
324,0.69282395
9104,0.6537374
18194,0.6676838
9548,0.20976749
7653,0.52053344
12285,0.4477144
598,0.6544682
18657,0.78678346
10159,0.5650889
14880,0.6339701
12144,0.9271228
11901,0.7728946
1662,0.7310987
7333,0.5269099
9357,0.7036373
10213,0.26953325
9270,0.2184213
15199,0.79144007
21194,0.62511265
10598,0.1764369
4580,0.34822616
3098,0.47921464
6658,0.5749905
16021,0.95194274
15834,0.85106397
8957,0.7664687
12969,0.55137897
7696,0.9640741
8883,0.4217674
10285,0.1350751
7177,0.5592092
6761,0.4367648
1243,0.6487352
13394,0.9693963
3268,0.58510613
3452,0.6075206
15239,0.9521516
10313,0.3691477
10131,0.10220781
19527,0.60363674
1664,0.7547388
18332,0.8615003
4060,0.62566674
10287,0.25289196
1780,0.76922286
9193,0.43532827
16267,0.8698001
16237,0.822415
7575,0.7696594
1574,0.75986964
12744,0.5986799
4407,0.5211524
12026,0.7923561
3425,0.5459612
21403,0.7063044
4520,0.5820963
158,0.73510975
10139,0.9656055
738,0.6696414
13152,0.31111065
1089,0.6917566
19438,0.6857845
19153,0.5060683
168,0.76276016
18482,0.8709885
16517,0.12217289
7402,0.5639388
16268,0.87956864
4638,0.5802692
15766,0.83343536
9096,0.50531065
16358,0.44514188
3055,0.54668015
1275,0.68041795
1451,0.7683253
4385,0.6063784
18656,0.9050171
16146,0.13906397
8975,0.110959835
21054,0.61158144
3196,0.5781212
7108,0.4356733
1124,0.758489
18864,0.8228782
18061,0.64687526
15312,0.7993207
12771,0.3463027
18064,0.7557262
6507,0.91613173
1081,0.5826387
3615,0.5820393
18002,0.75542325
19216,0.55102116
3252,0.62373877
10434,0.728999
12054,0.8314622
9905,0.284189
15477,0.8639945
19417,0.6291938
3936,0.4863666
15960,0.1923879
3720,0.547533
2987,0.60457695
7624,0.98685336
6958,0.73801726
21620,0.58458114
3841,0.47944394
16259,0.87835073
1447,0.81896186
15103,0.94564414
9906,0.5531082
21595,0.6771416
15156,0.6316449
9290,0.3478383
14982,0.7617376
21153,0.56336135
3734,0.36589
4334,0.5189055
18765,0.86152
3034,0.6622696
18203,0.364254
3337,0.67304873
17987,0.78665346
19393,0.31021947
499,0.74605864
9980,0.15155317
21325,0.70217395
9392,0.6967024
8971,0.36523253
10186,0.22976097
21379,0.67273474
132,0.8397026
3591,0.5981421
19346,0.8886609
9801,0.7049326
16221,0.38970155
6789,0.83363473
4378,0.5469754
938,0.77054787
15278,0.56618965
9748,0.39253104
404,0.72950053
9920,0.5889043
18694,0.9156312
7254,0.1448421
19057,0.7278117
16533,0.78908944
4320,0.4136912
15003,0.38036793
6015,0.70941293
8900,0.64205974
18334,0.6851099
3710,0.54028726
18553,0.4648784
13187,0.8873889
6829,0.40736791
19107,0.50684
4370,0.5627697
9131,0.33939284
19470,0.6876595
745,0.6709657
4772,0.56765705
9452,0.53921896
10349,0.26288927
21331,0.4186843
4283,0.6546405
645,0.6385066
15470,0.70032305
1431,0.5495793
6510,0.44034067
3262,0.56616724
17970,0.36238107
16436,0.62067795
18840,0.5648075
3878,0.5156878
16510,0.33321363
6714,0.65538406
21188,0.4846385
9056,0.15369293
682,0.75398135
1695,0.7685615
18956,0.34059432
9158,0.98379785
20757,0.5760461
6630,0.22297959
9605,0.27359563
19289,0.6361216
19348,0.6099436
16281,0.5607437
9624,0.8962178
3484,0.5224128
7126,0.6838319
21293,0.522084
1109,0.74400735
12544,0.70616406
9112,0.60511523
19148,0.77857935
13252,0.35948676
9931,0.1435245
8881,0.9527627
15765,0.8716496
20983,0.60663754
15288,0.29095533
8960,0.4886795
3792,0.5156332
12661,0.3432169
15194,0.5026566
15672,0.33647653
3570,0.67387146
15917,0.2709802
4644,0.59854627
139,0.55916226
371,0.6852772
12019,0.45161104
12823,0.5934484
15033,0.77002114
15007,0.66750306
12555,0.81568545
11935,0.22824554
18951,0.7179329
7145,0.40374503
6054,0.45137683
3706,0.59623027
12599,0.42138973
12421,0.26212046
12719,0.45605797
6175,0.38499647
10459,0.12108011
1241,0.68059796
15531,0.48016834
12024,0.7435064
18464,0.6768092
11831,0.7027458
873,0.67626786
16599,0.5548992
18763,0.6570889
13073,0.61313254
10166,0.5421742
3561,0.52869135
18994,0.60984623
9733,0.61395043
21218,0.6602294
15869,0.716341
21166,0.6551623
6223,0.90671676
13132,0.7939271
3587,0.4187958
18574,0.45797506
238,0.638093
21592,0.61318415
6306,0.35493076
15689,0.9326994
1105,0.7485397
18106,0.6550257
12020,0.80984724
6943,0.33622128
338,0.5466671
18546,0.5955197
492,0.6312538
16103,0.14129408
17981,0.5239879
19460,0.7024358
7075,0.8806472
640,0.6530723
16084,0.8998871
6401,0.47581032
9442,0.9906266
6405,0.69977266
6438,0.28656527
4279,0.51371163
20754,0.60582936
19202,0.8211909
6182,0.8991577
21489,0.4508327
3004,0.48341936
905,0.5557567
16376,0.6670561
1383,0.7491025
3381,0.52982724
7176,0.39033425
4036,0.6351104
888,0.77165556
16087,0.9661895
15440,0.54457676
1012,0.73089707
21037,0.7282909
9036,0.114785515
178,0.6309935
17978,0.51079786
1254,0.71576154
13385,0.84549063
1676,0.61727613
4485,0.5791687
14886,0.689871
385,0.8536655
4481,0.5868254
13625,0.7184552
15019,0.87836176
15872,0.19007365
7269,0.5672825
12093,0.5129258
711,0.7661133
12145,0.121184215
10537,0.16961715
10385,0.09734537
978,0.66632384
4075,0.6117555
13155,0.8020449
9577,0.11444169
6672,0.93485737
15836,0.29501745
18976,0.4842185
3157,0.6591931
16161,0.9762334
18882,0.68694013
18112,0.71438795
19543,0.62619036
16059,0.17279966
27,0.39496753
9574,0.7037653
7550,0.40036196
9786,0.30654585
10390,0.25182638
3208,0.61287993
9717,0.74319583
12429,0.85180086
12891,0.9704516
11833,0.82433534
18166,0.74906486
11945,0.9447152
35,0.7429947
16046,0.40528116
13256,0.4849063
18073,0.7242067
21290,0.544475
4220,0.57577914
19210,0.84442294
10185,0.5807053
3333,0.48225617
5979,0.9009115
9127,0.7206412
15966,0.6076829
16325,0.52694356
15980,0.74338967
12417,0.82125694
16397,0.7666072
